,건축년도,주택유형,본번,부번,층,도로명,단지명,전용면적...,시군구
64,2001,아파트,11,11,16,장안로5번길 45,성원쌍떼빌,84.48,경기도 수원시 팔달구 화서동
65,1991,아파트,11,41,1,팔달로165번길 39,벽산아파트,63.78,경기도 수원시 팔달구 화서동
66,1991,아파트,11,41,3,팔달로165번길 39,벽산아파트,63.78,경기도 수원시 팔달구 화서동
67,1991,아파트,11,41,4,팔달로165번길 39,벽산아파트,63.78,경기도 수원시 팔달구 화서동
68,1991,아파트,11,41,4,팔달로165번길 39,벽산아파트,114.9,경기도 수원시 팔달구 화서동
69,1991,아파트,11,41,6,팔달로165번길 39,벽산아파트,63.78,경기도 수원시 팔달구 화서동
70,1991,아파트,11,41,6,팔달로165번길 39,벽산아파트,84.7,경기도 수원시 팔달구 화서동
71,1991,아파트,11,41,7,팔달로165번길 39,벽산아파트,84.7,경기도 수원시 팔달구 화서동
72,1991,아파트,11,41,8,팔달로165번길 39,벽산아파트,63.78,경기도 수원시 팔달구 화서동
73,1991,아파트,11,41,8,팔달로165번길 39,벽산아파트,84.7,경기도 수원시 팔달구 화서동
74,1991,아파트,11,41,10,팔달로165번길 39,벽산아파트,84.7,경기도 수원시 팔달구 화서동
75,1991,아파트,11,41,11,팔달로165번길 39,벽산아파트,63.78,경기도 수원시 팔달구 화서동
76,1992,아파트,13,0,4,송정로76번길 45,기산,58.87,경기도 수원시 장안구 정자동
77,1992,아파트,13,0,10,송정로76번길 45,기산,58.87,경기도 수원시 장안구 정자동
78,1992,아파트,13,0,11,송정로76번길 45,기산,58.87,경기도 수원시 장안구 정자동
79,1992,아파트,13,0,12,송정로76번길 45,기산,58.87,경기도 수원시 장안구 정자동
80,2022,아파트,18,2,9,창훈로 74,서광교파크뷰,41.18,경기도 수원시 장안구 연무동
81,1991,아파트,21,0,3,창훈로66번길 11-3,유천프라자,59.67,경기도 수원시 장안구 연무동
82,1991,아파트,21,0,4,창훈로66번길 11-3,유천프라자,59.67,경기도 수원시 장안구 연무동
83,1991,아파트,21,0,7,창훈로66번길 11-3,유천프라자,59.67,경기도 수원시 장안구 연무동
84,1991,아파트,21,5,1,창훈로66번길 12,유천프라자(21-5)나동,59.58,경기도 수원시 장안구 연무동
85,1991,아파트,21,5,3,창훈로66번길 12,유천프라자(21-5)나동,63.45,경기도 수원시 장안구 연무동
86,1991,아파트,21,5,3,창훈로66번길 12,유천프라자(21-5)나동,66.51,경기도 수원시 장안구 연무동
87,2008,아파트,24,1,3,정자천로188번길 21,정자KTe-편한세상,140.72,경기도 수원시 장안구 정자동
88,2008,아파트,24,1,4,정자천로188번길 21,정자KTe-편한세상,143.41,경기도 수원시 장안구 정자동
89,2008,아파트,24,1,5,정자천로188번길 21,정자KTe-편한세상,84.76,경기도 수원시 장안구 정자동
90,2008,아파트,24,1,8,정자천로188번길 21,정자KTe-편한세상,84.76,경기도 수원시 장안구 정자동
91,2008,아파트,24,1,13,정자천로188번길 21,정자KTe-편한세상,143.41,경기도 수원시 장안구 정자동
92,2008,아파트,24,1,14,정자천로188번길 21,정자KTe-편한세상,140.72,경기도 수원시 장안구 정자동
93,2008,아파트,24,1,15,정자천로188번길 21,정자KTe-편한세상,84.76,경기도 수원시 장안구 정자동
94,2021,아파트,24,6,4,정조로715번길 29,만강,69.42,경기도 수원시 팔달구 매교동
95,2021,아파트,24,6,5,정조로715번길 29,만강,66.48,경기도 수원시 팔달구 매교동
96,2001,아파트,25,4,2,매산로130번길 15,건영캐스빌,82.64,경기도 수원시 팔달구 매교동
97,2001,아파트,25,4,5,매산로130번길 15,건영캐스빌,82.64,경기도 수원시 팔달구 매교동
98,2001,아파트,25,4,7,매산로130번길 15,건영캐스빌,82.64,경기도 수원시 팔달구 매교동
99,2001,아파트,25,4,10,매산로130번길 15,건영캐스빌,82.64,경기도 수원시 팔달구 매교동
100,1988,아파트,28,0,1,중부대로223번길 102,우만주공1단지,38.52,경기도 수원시 팔달구 우만동
101,1988,아파트,28,0,1,중부대로223번길 102,우만주공1단지,47.25,경기도 수원시 팔달구 우만동
102,1988,아파트,28,0,2,중부대로223번길 102,우만주공1단지,38.52,경기도 수원시 팔달구 우만동
103,1988,아파트,28,0,2,중부대로223번길 102,우만주공1단지,47.25,경기도 수원시 팔달구 우만동
104,1988,아파트,28,0,3,중부대로223번길 102,우만주공1단지,38.52,경기도 수원시 팔달구 우만동
105,1988,아파트,28,0,3,중부대로223번길 102,우만주공1단지,47.25,경기도 수원시 팔달구 우만동
106,1988,아파트,28,0,4,중부대로223번길 102,우만주공1단지,38.52,경기도 수원시 팔달구 우만동
107,1988,아파트,28,0,5,중부대로223번길 102,우만주공1단지,38.52,경기도 수원시 팔달구 우만동
108,1988,아파트,28,0,5,중부대로223번길 102,우만주공1단지,47.25,경기도 수원시 팔달구 우만동
109,1989,아파트,28,0,1,중부대로223번길 54-13,우만주공2단지,45.9,경기도 수원시 팔달구 우만동
110,1989,아파트,28,0,1,중부대로223번길 92,우만주공2단지,45.77,경기도 수원시 팔달구 우만동
111,1989,아파트,28,0,1,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동
112,1989,아파트,28,0,1,중부대로223번길 92,우만주공2단지,59.39,경기도 수원시 팔달구 우만동
113,1989,아파트,28,0,2,중부대로223번길 54-13,우만주공2단지,45.9,경기도 수원시 팔달구 우만동
114,1989,아파트,28,0,2,중부대로223번길 54-13,우만주공2단지,66.56,경기도 수원시 팔달구 우만동
115,1989,아파트,28,0,2,중부대로223번길 92,우만주공2단지,41.3,경기도 수원시 팔달구 우만동
116,1989,아파트,28,0,2,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
117,1989,아파트,28,0,2,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동
118,1989,아파트,28,0,3,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
119,1989,아파트,28,0,3,중부대로223번길 92,우만주공2단지,59.39,경기도 수원시 팔달구 우만동
120,1989,아파트,28,0,4,중부대로223번길 54-13,우만주공2단지,45.9,경기도 수원시 팔달구 우만동
121,1989,아파트,28,0,4,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
