,dealAmount,deposit,전세가율,buildYear,excluUseAr,floor,본번,부번,offiNm,sggCd,sggNm.x,umdNm.x
225,12000,2881.818182,24.01515152,2004,32.7,5,1013,1,세종그랑시아,41113,수원시 권선구,권선동
226,11800,6711.538462,56.87744459,2004,32.7,6,1013,1,세종그랑시아,41113,수원시 권선구,권선동
227,12037.5,10900.38462,90.55355859,2004,32.7,7,1013,1,세종그랑시아,41113,수원시 권선구,권선동
228,12328.57143,8888.888889,72.09990988,2004,32.7,8,1013,1,세종그랑시아,41113,수원시 권선구,권선동
229,12065,11157.14286,92.47528269,2004,32.7,9,1013,1,세종그랑시아,41113,수원시 권선구,권선동
230,11700,10872.22222,92.92497626,2004,32.7,10,1013,1,세종그랑시아,41113,수원시 권선구,권선동
231,11050,2350,21.26696833,2004,32.7,11,1013,1,세종그랑시아,41113,수원시 권선구,권선동
232,12700,9560.714286,75.28121485,2004,32.7,12,1013,1,세종그랑시아,41113,수원시 권선구,권선동
233,12685.71429,4112.5,32.41835586,2004,32.7,13,1013,1,세종그랑시아,41113,수원시 권선구,권선동
234,15500,7016.666667,45.2688172,2004,32.7,14,1013,1,세종그랑시아,41113,수원시 권선구,권선동
235,12150,11517.5,94.79423868,2004,32.7,15,1013,1,세종그랑시아,41113,수원시 권선구,권선동
236,8650,5200,60.11560694,2004,32.75,12,1135,8,삼부르네상스오피스텔,41115,수원시 팔달구,인계동
237,10000,12750,127.5,2004,32.91,4,1013,1,세종그랑시아,41113,수원시 권선구,권선동
238,11800,12525,106.1440678,2004,32.91,6,1013,1,세종그랑시아,41113,수원시 권선구,권선동
239,12166.66667,12500,102.739726,2004,32.91,8,1013,1,세종그랑시아,41113,수원시 권선구,권선동
240,9150,9720,106.2295082,2004,33.2,2,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
241,8970,12800,142.6978818,2004,33.2,3,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
242,8750,11250,128.5714286,2004,33.2,3,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
243,8300,500,6.024096386,2004,33.2,5,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
244,10000,875,8.75,2004,34.21,11,26,25,트레보,41115,수원시 팔달구,우만동
245,10000,10000,100,2004,34.21,12,26,25,트레보,41115,수원시 팔달구,우만동
246,8050,10550,131.0559006,2004,35,2,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
247,8900,10812.5,121.488764,2004,35,3,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
248,8200,500,6.097560976,2004,35,3,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
249,9500,5000,52.63157895,2004,35,5,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
250,14000,13000,92.85714286,2004,36,12,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
251,13800,12500,90.57971014,2004,37.28,5,1036,6,인계 오피앙 오피스텔,41115,수원시 팔달구,인계동
