"대전광역시"," 단독주택                  ",195240,63794,54605,53534,9954,7925,5428
"대전광역시"," 아파트                    ",234075,154923,45023,28359,507,294,4969
"대전광역시"," 연립주택                  ",14208,9091,3978,517,92,72,458
"대전광역시"," 다세대주택                ",24977,18114,4673,1258,212,179,541
"대전광역시","비주거용 건물 내 주택",7014,2564,1229,1666,593,291,671
"대전광역시","주택이외의거처-계",3351,360,965,1290,335,60,341
"울산광역시","합계                      ",339095,199287,59243,57831,9128,1545,12061
"울산광역시","주택-계                 ",337286,198894,58895,57258,8953,1512,11774
"울산광역시"," 단독주택                  ",135939,51787,28326,42850,8158,1346,3472
"울산광역시"," 아파트                    ",168478,125575,25089,10614,152,44,7004
"울산광역시"," 연립주택                  ",7691,5336,1348,563,66,10,368
"울산광역시"," 다세대주택                ",16988,12389,2830,1381,79,19,290
"울산광역시","비주거용 건물 내 주택",8190,3807,1302,1850,498,93,640
"울산광역시","주택이외의거처-계",1809,393,348,573,175,33,287
"경기도","합계                      ",3329177,1770538,896459,503591,49969,18333,90287
"경기도","주택-계                 ",3258010,1757001,876088,477711,46168,16679,84363
"경기도"," 단독주택                  ",1122015,375565,359615,300518,36850,13259,36208
"경기도"," 아파트                    ",1641505,1077147,390736,137373,2413,1382,32454
"경기도"," 연립주택                  ",145671,92533,39105,8734,1074,454,3771
"경기도"," 다세대주택                ",304876,197791,78343,20795,1696,757,5494
"경기도","비주거용 건물 내 주택",43943,13965,8289,10291,4135,827,6436
"경기도","주택이외의거처-계",71167,13537,20371,25880,3801,1654,5924
"강원도","합계                      ",520628,301653,68063,88108,18451,11839,32514
"강원도","주택-계                 ",518270,300727,67918,87820,18269,11768,31768
"강원도"," 단독주택                  ",284699,179480,24800,40687,15687,10312,13733
"강원도"," 아파트                    ",197686,100509,38417,43276,1300,917,13267
"강원도"," 연립주택                  ",19658,11977,2814,1245,367,212,3043
"강원도"," 다세대주택                ",3648,2176,596,317,92,21,446
"강원도","비주거용 건물 내 주택",12579,6585,1291,2295,823,306,1279
"강원도","주택이외의거처-계",2358,926,145,288,182,71,746
"충청북도","합계                      ",505203,303995,73328,79284,13356,14736,20504
"충청북도","주택-계                 ",503601,303375,73150,79108,13230,14674,20064
"충청북도"," 단독주택                  ",269602,166033,35928,32848,11275,13628,9890
"충청북도"," 아파트                    ",202990,117636,32253,43605,1252,537,7707
"충청북도"," 연립주택                  ",15668,10920,2627,780,149,100,1092
"충청북도"," 다세대주택                ",6002,4202,1177,298,49,37,239
"충청북도","비주거용 건물 내 주택",9339,4584,1165,1577,505,372,1136
"충청북도","주택이외의거처-계",1602,620,178,176,126,62,440
"충청남도","합계                      ",659871,414795,93284,76545,19462,19491,36294
"충청남도","주택-계                 ",656121,413844,92903,75556,19106,19273,35439
"충청남도"," 단독주택                  ",380558,271097,27704,32634,16605,17307,15211
"충청남도"," 아파트                    ",225113,112167,55582,38261,1252,1041,16810
"충청남도"," 연립주택                  ",21481,14254,4357,1093,314,183,1280
"충청남도"," 다세대주택                ",16809,10714,3782,1235,236,150,692
"충청남도","비주거용 건물 내 주택",12160,5612,1478,2333,699,592,1446
"충청남도","주택이외의거처-계",3750,951,381,989,356,218,855
"전라북도","합계                      ",619958,407560,79247,84954,13006,13322,21869
"전라북도","주택-계                 ",618138,406882,79083,84647,12890,13215,21421
"전라북도"," 단독주택                  ",337086,238270,29556,31880,11281,12213,13886
"전라북도"," 아파트                    ",253607,152549,44700,49346,852,426,5734
"전라북도"," 연립주택                  ",13534,9582,2377,702,181,86,606
"전라북도"," 다세대주택                ",3313,1331,821,956,45,24,136
"전라북도","비주거용 건물 내 주택",10598,5150,1629,1763,531,466,1059
"전라북도","주택이외의거처-계",1820,678,164,307,116,107,448
"전라남도","합계                      ",666319,463093,97113,45790,9357,19556,31410
"전라남도","주택-계                 ",660519,462322,96117,43281,9021,19289,30489
"전라남도"," 단독주택                  ",431318,352672,26319,9617,7508,17086,18116
"전라남도"," 아파트                    ",197949,90592,64647,31588,798,953,9371
"전라남도"," 연립주택                  ",12067,8320,1881,305,105,270,1186
"전라남도"," 다세대주택                ",4950,3302,843,179,27,74,525
"전라남도","비주거용 건물 내 주택",14235,7436,2427,1592,583,906,1291
"전라남도","주택이외의거처-계",5800,771,996,2509,336,267,921
"경상북도","합계                      ",938840,625678,106777,89618,26289,44171,46307
"경상북도","주택-계                 ",934416,624344,106261,88783,25845,43766,45417
"경상북도"," 단독주택                  ",549465,378969,44702,42301,22253,39083,22157
"경상북도"," 아파트                    ",310112,198764,49016,40878,1763,2260,17431
"경상북도"," 연립주택                  ",25808,18185,4339,833,242,347,1862
"경상북도"," 다세대주택                ",25622,17460,5057,1429,265,385,1026
"경상북도","비주거용 건물 내 주택",23409,10966,3147,3342,1322,1691,2941
"경상북도","주택이외의거처-계",4424,1334,516,835,444,405,890
"경상남도","합계                      ",1056007,661577,151777,170320,29310,7398,35625
"경상남도","주택-계                 ",1043829,659649,149450,164506,28519,7166,34539
"경상남도"," 단독주택                  ",551099,332012,68185,100208,25546,6569,18579
"경상남도"," 아파트                    ",424420,284304,70563,56167,1126,177,12083
"경상남도"," 연립주택                  ",24198,18051,3799,1302,165,47,834
"경상남도"," 다세대주택                ",22063,15750,3611,1815,156,34,697
"경상남도","비주거용 건물 내 주택",22049,9532,3292,5014,1526,339,2346
"경상남도","주택이외의거처-계",12178,1928,2327,5814,791,232,1086
"제주도","합계                      ",179199,98126,12000,16222,3713,31893,17245
"제주도","주택-계                 ",176221,97843,11790,14857,3360,31522,16849
"제주도"," 단독주택                  ",107911,59455,3888,4373,2274,24857,13064
"제주도"," 아파트                    ",34835,20767,3987,7073,217,1358,1433
"제주도"," 연립주택                  ",10506,5711,1736,1267,112,872,808
"제주도"," 다세대주택                ",17098,9708,1855,1604,310,2871,750
"제주도","비주거용 건물 내 주택",5871,2202,324,540,447,1564,794
"제주도","주택이외의거처-계",2978,283,210,1365,353,371,396
