buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,offiNm,sggCd,sggNm,slerGbn,umdNm,지역구명,본번,부번
2017, , , ,15429.0,4,1,2021, , ,50.57,4,1113-5,로얄팰리스,41113,수원시 권선구, ,금곡동,수원시 권선구,1113,5
2004, , , ,9300.0,12,1,2021, , ,29.17,12,1013-1,세종그랑시아,41113,수원시 권선구, ,권선동,수원시 권선구,1013,1
2004, , , ,19000.0,2,1,2021, , ,71.61,11,1011-10,올림픽공원대우미래사랑102동,41113,수원시 권선구, ,권선동,수원시 권선구,1011,10
2004, , , ,18500.0,9,1,2021, , ,71.61,4,1011-10,올림픽공원대우미래사랑102동,41113,수원시 권선구, ,권선동,수원시 권선구,1011,10
2020, , , ,17338.0,13,1,2021, , ,27.818,7,1113-1,수원 호매실 동광뷰웰,41113,수원시 권선구, ,금곡동,수원시 권선구,1113,1
2006, ,21.04.19,O,22000.0,10,1,2021, , ,71.27,3,1013-4,한라비발디파크,41113,수원시 권선구, ,권선동,수원시 권선구,1013,4
2004, , , ,17600.0,6,1,2021, , ,68.08,8,1011-10,올림픽공원대우미래사랑102동,41113,수원시 권선구, ,권선동,수원시 권선구,1011,10
2004, , , ,18000.0,6,1,2021, , ,58.55,6,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구,1011,14
2004, , , ,18000.0,7,1,2021, , ,71.61,2,1011-14,올림픽공원대우미래사랑 101동,41113,수원시 권선구, ,권선동,수원시 권선구,1011,14
2018, , , ,20000.0,6,1,2021, , ,53.49,7,1125-3,세종 헤르메스 오피스텔,41113,수원시 권선구, ,금곡동,수원시 권선구,1125,3
2006, , , ,30500.0,28,1,2021, , ,107.92,16,1116-5,인계동 삼환 아르누보파크,41115,수원시 팔달구, ,인계동,수원시 팔달구,1116,5
2006, , , ,24000.0,28,1,2021, , ,82.34,12,1120,캐슬타워,41115,수원시 팔달구, ,인계동,수원시 팔달구,1120,0
2008, , , ,20800.0,20,1,2021, , ,84.854,7,754-17,다림베스트빌,41115,수원시 팔달구, ,인계동,수원시 팔달구,754,17
2007, , , ,27000.0,16,1,2021, , ,107.45,11,1134-3,동양파라곤 1단지,41115,수원시 팔달구, ,인계동,수원시 팔달구,1134,3
2006, , , ,25500.0,17,1,2021, , ,66.2664,6,1124-1,수원인계자이오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구,1124,1
2004, , , ,6100.0,29,1,2021, , ,22.387,9,1119,인계샤르망오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구,1119,0
2008, , , ,17900.0,27,1,2021, , ,60.345,14,1114-9,(1114-9),41115,수원시 팔달구, ,인계동,수원시 팔달구,1114,9
2006, , , ,17500.0,22,1,2021, , ,60.71,8,1120,캐슬타워,41115,수원시 팔달구, ,인계동,수원시 팔달구,1120,0
2006, , , ,38000.0,27,1,2021, , ,118.25,10,1116-5,인계동 삼환 아르누보파크,41115,수원시 팔달구, ,인계동,수원시 팔달구,1116,5
2003, , , ,8500.0,28,1,2021, , ,30.62,12,1135-1,벨로시티,41115,수원시 팔달구, ,인계동,수원시 팔달구,1135,1
2006, , , ,17300.0,22,1,2021, , ,60.71,11,1120,캐슬타워,41115,수원시 팔달구, ,인계동,수원시 팔달구,1120,0
2006, , , ,23000.0,16,1,2021, , ,84.07,4,1120,캐슬타워,41115,수원시 팔달구, ,인계동,수원시 팔달구,1120,0
2006, , , ,13000.0,31,1,2021, , ,55.4,9,40-3,대주파크빌,41115,수원시 팔달구, ,매산로2가,수원시 팔달구,40,3
2006, , , ,23000.0,12,1,2021, , ,91.437,13,206,한라시그마팰리스,41115,수원시 팔달구, ,인계동,수원시 팔달구,206,0
2006, , , ,24000.0,16,1,2021, , ,82.34,4,1120,캐슬타워,41115,수원시 팔달구, ,인계동,수원시 팔달구,1120,0
2006, , , ,26000.0,9,1,2021, , ,66.2664,14,1124-1,수원인계자이오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구,1124,1
2006, , , ,22800.0,13,1,2021, , ,84.07,7,1120,캐슬타워,41115,수원시 팔달구, ,인계동,수원시 팔달구,1120,0
2006, , , ,27000.0,14,1,2021, , ,82.5722,10,1124-1,수원인계자이오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구,1124,1
2006, , , ,26000.0,9,1,2021, , ,66.2664,3,1124-1,수원인계자이오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구,1124,1
2004, , , ,15100.0,15,1,2021, , ,60.06,3,1131-1,마이홈 오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구,1131,1
2004, , , ,8400.0,29,1,2021, , ,25.956,5,1119,인계샤르망오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구,1119,0
2008, , , ,27000.0,9,1,2021, , ,94.64,7,1116-3,한화 꿈에그린 효원 101동,41115,수원시 팔달구, ,인계동,수원시 팔달구,1116,3
2017, , , ,19800.0,18,1,2021, , ,83.42,2,142-11,삼성캐슬,41115,수원시 팔달구, ,교동,수원시 팔달구,142,11
2008, , , ,22700.0,5,1,2021, , ,82.92,6,1114-9,(1114-9),41115,수원시 팔달구, ,인계동,수원시 팔달구,1114,9
2005, , , ,24000.0,21,1,2021, , ,79.6,8,1046-13,에스팝타워,41115,수원시 팔달구, ,인계동,수원시 팔달구,1046,13
2007, , , ,30000.0,14,1,2021, , ,119.19,15,1134-11,동양파라곤 2단지,41115,수원시 팔달구, ,인계동,수원시 팔달구,1134,11
2006, , , ,25000.0,4,1,2021, , ,112.315,5,206,한라시그마팰리스,41115,수원시 팔달구, ,인계동,수원시 팔달구,206,0
2006, , , ,16800.0,2,1,2021, , ,61.8464,13,206,한라시그마팰리스,41115,수원시 팔달구, ,인계동,수원시 팔달구,206,0
2005, , , ,7900.0,12,1,2021, , ,31.0275,8,939,신동아 파스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구,939,0
2005, , , ,8000.0,2,1,2021, , ,31.0275,10,939,신동아 파스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구,939,0
2007, , , ,22000.0,15,1,2021, , ,96.95,9,1134-11,동양파라곤 2단지,41115,수원시 팔달구, ,인계동,수원시 팔달구,1134,11
2007, , , ,27000.0,9,1,2021, , ,107.45,6,1134-11,동양파라곤 2단지,41115,수원시 팔달구, ,인계동,수원시 팔달구,1134,11
2008, , , ,20000.0,14,1,2021, , ,79.336,13,1114-9,(1114-9),41115,수원시 팔달구, ,인계동,수원시 팔달구,1114,9
2006, , , ,22500.0,12,1,2021, , ,89.009,4,206,한라시그마팰리스,41115,수원시 팔달구, ,인계동,수원시 팔달구,206,0
2005, , , ,16100.0,7,1,2021, , ,72.45,3,1134-4,트윈파크에이동,41115,수원시 팔달구, ,인계동,수원시 팔달구,1134,4
2004, , , ,15200.0,3,1,2021, , ,64.68,15,1131-1,마이홈 오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구,1131,1
2006, , , ,24500.0,4,1,2021, , ,66.2664,9,1124-1,수원인계자이오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구,1124,1
2004, , , ,13300.0,4,1,2021, , ,46.2,12,1131-1,마이홈 오피스텔,41115,수원시 팔달구, ,인계동,수원시 팔달구,1131,1
2019, ,21.10.01,O,120000.0,30,1,2021, , ,84.8322,1,589,광교중흥에스클래스,41117,수원시 영통구, ,원천동,수원시 영통구,589,0
2017, , , ,12800.0,14,1,2021, , ,24.38,9,998-7,(998-7),41117,수원시 영통구, ,영통동,수원시 영통구,998,7
2016, , , ,12700.0,25,1,2021, , ,19.2717,3,1256-1,테라스힐,41117,수원시 영통구, ,이의동,수원시 영통구,1256,1
2018, ,21.03.05,O,16500.0,30,1,2021, , ,22.83,15,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구,1336,1
2014, , , ,10400.0,30,1,2021, , ,16.803,7,1349,광교 더로프트,41117,수원시 영통구, ,이의동,수원시 영통구,1349,0
2015, , , ,78000.0,27,1,2021, , ,84.83,6,1014,광교 힐스테이트 레이크,41117,수원시 영통구, ,하동,수원시 영통구,1014,0
2014, , , ,52000.0,18,1,2021, , ,62.99,6,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구,1352,0
2018, , , ,17000.0,30,1,2021, , ,21.58,5,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구,1336,1
2018, , , ,17000.0,30,1,2021, , ,21.58,13,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구,1336,1
2015, , , ,20000.0,30,1,2021, , ,27.48,8,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2018, , , ,16500.0,30,1,2021, , ,22.83,5,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구,1336,1
2018, , , ,17000.0,20,1,2021, , ,22.83,9,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구,1336,1
2014, , , ,34900.0,16,1,2021, , ,46.91,7,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구,1352,0
2019, , , ,68000.0,22,1,2021, , ,74.973,3,589,광교중흥에스클래스,41117,수원시 영통구, ,원천동,수원시 영통구,589,0
2018, , , ,16500.0,21,1,2021, , ,22.83,4,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구,1336,1
2019, , , ,123900.0,22,1,2021, , ,84.8322,2,589,광교중흥에스클래스,41117,수원시 영통구, ,원천동,수원시 영통구,589,0
2014, , , ,57000.0,16,1,2021, , ,62.99,10,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구,1352,0
 , , , ,59000.0,16,1,2021, , ,58.83,5,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구,1019,0
2014, , , ,15000.0,23,1,2021, , ,24.98,6,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구,1352,0
2013, , , ,13000.0,21,1,2021, , ,25.35,10,1257-4,광교 파인렉스2,41117,수원시 영통구, ,이의동,수원시 영통구,1257,4
2019, , , ,68000.0,23,1,2021, , ,72.1441,2,589,광교중흥에스클래스,41117,수원시 영통구, ,원천동,수원시 영통구,589,0
2015, , , ,19500.0,23,1,2021, , ,29.711,6,1332,"광교C1 호반베르디움, Summit Place광교",41117,수원시 영통구, ,이의동,수원시 영통구,1332,0
2015, , , ,69400.0,9,1,2021, , ,84.68,3,1014,광교 힐스테이트 레이크,41117,수원시 영통구, ,하동,수원시 영통구,1014,0
2015, , , ,22500.0,9,1,2021, , ,32.259,4,1332,"광교C1 호반베르디움, Summit Place광교",41117,수원시 영통구, ,이의동,수원시 영통구,1332,0
2018, , , ,16700.0,26,1,2021, , ,22.83,7,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구,1336,1
2018, , , ,106000.0,26,1,2021, , ,77.5648,3,1021,힐스테이트 광교,41117,수원시 영통구, ,하동,수원시 영통구,1021,0
2014, , , ,37000.0,26,1,2021, , ,46.91,11,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구,1352,0
2015, , , ,14000.0,29,1,2021, , ,22.62,8,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2015, , , ,13500.0,19,1,2021, , ,22.62,7,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
