Unnamed: 0,dealAmount,deposit,전세가율,buildYear,excluUseAr,floor,jibun,mhouseNm,sggCd,지역구명.x,umdNm.x,편차,전용면적_그룹,평균 전세가율
260,13000,1000,7.692307692,1981,43.8,1,485-1,삼화연립(485-1),41113,수원시 권선구,세류동,-50.06454634,중형,57.75685404
261,13000,11000,84.61538462,1981,43.8,1,485-1,삼화연립(485-1),41113,수원시 권선구,세류동,26.85853058,중형,57.75685404
262,13000,10000,76.92307692,1981,43.8,1,485-1,삼화연립(485-1),41113,수원시 권선구,세류동,19.16622288,중형,57.75685404
263,9500,500,5.263157895,1981,43.8,2,485-1,삼화연립(485-1),41113,수원시 권선구,세류동,-52.49369614,중형,57.75685404
264,9500,5000,52.63157895,1981,43.8,2,485-1,삼화연립(485-1),41113,수원시 권선구,세류동,-5.125275087,중형,57.75685404
265,11433.33333,8500,74.34402332,1981,44.1,2,476,삼원(476),41113,수원시 권선구,세류동,16.58716928,중형,57.75685404
266,11433.33333,9000,78.71720117,1981,44.1,2,476,삼원(476),41113,수원시 권선구,세류동,20.96034713,중형,57.75685404
267,11433.33333,200,1.749271137,1981,44.1,2,476,삼원(476),41113,수원시 권선구,세류동,-56.0075829,중형,57.75685404
268,11433.33333,8000,69.97084548,1981,44.1,2,476,삼원(476),41113,수원시 권선구,세류동,12.21399144,중형,57.75685404
269,12925,8500,65.76402321,1981,44.1,2,476,삼원(476),41113,수원시 권선구,세류동,8.007169173,중형,57.75685404
270,12925,9000,69.63249516,1981,44.1,2,476,삼원(476),41113,수원시 권선구,세류동,11.87564112,중형,57.75685404
271,12925,200,1.547388781,1981,44.1,2,476,삼원(476),41113,수원시 권선구,세류동,-56.20946526,중형,57.75685404
272,12925,8000,61.89555126,1981,44.1,2,476,삼원(476),41113,수원시 권선구,세류동,4.138697223,중형,57.75685404
273,9166.666667,7000,76.36363636,1981,44.2,1,44-13,정자,41111,수원시 장안구,정자동,9.995882138,중형,66.36775422
274,9166.666667,200,2.181818182,1981,44.2,1,44-13,정자,41111,수원시 장안구,정자동,-64.18593604,중형,66.36775422
275,9166.666667,9000,98.18181818,1981,44.2,1,44-13,정자,41111,수원시 장안구,정자동,31.81406396,중형,66.36775422
276,13000,7000,53.84615385,1981,44.2,1,44-13,정자,41111,수원시 장안구,정자동,-12.52160037,중형,66.36775422
277,13000,200,1.538461538,1981,44.2,1,44-13,정자,41111,수원시 장안구,정자동,-64.82929268,중형,66.36775422
278,13000,9000,69.23076923,1981,44.2,1,44-13,정자,41111,수원시 장안구,정자동,2.863015008,중형,66.36775422
279,9562.5,500,5.22875817,1981,44.2,2,44-13,정자,41111,수원시 장안구,정자동,-61.13899605,중형,66.36775422
280,9562.5,7800,81.56862745,1981,44.2,2,44-13,정자,41111,수원시 장안구,정자동,15.20087323,중형,66.36775422
281,10237.5,7400,72.28327228,1981,44.2,3,44-13,정자,41111,수원시 장안구,정자동,5.915518058,중형,66.36775422
282,10237.5,7450,72.77167277,1981,44.2,3,44-13,정자,41111,수원시 장안구,정자동,6.403918548,중형,66.36775422
283,10237.5,5500,53.72405372,1981,44.2,3,44-13,정자,41111,수원시 장안구,정자동,-12.6437005,중형,66.36775422
284,10237.5,9000,87.91208791,1981,44.2,3,44-13,정자,41111,수원시 장안구,정자동,21.54433369,중형,66.36775422
285,10237.5,500,4.884004884,1981,44.2,3,44-13,정자,41111,수원시 장안구,정자동,-61.48374934,중형,66.36775422
286,10237.5,1000,9.768009768,1981,44.2,3,44-13,정자,41111,수원시 장안구,정자동,-56.59974445,중형,66.36775422
287,10237.5,6000,58.60805861,1981,44.2,3,44-13,정자,41111,수원시 장안구,정자동,-7.759695612,중형,66.36775422
288,12700,500,3.937007874,1981,45.52,1,254-1,보성,41111,수원시 장안구,연무동,-46.13677628,중형,50.07378415
289,8500,500,5.882352941,1981,45.52,2,254-1,보성,41111,수원시 장안구,연무동,-44.19143121,중형,50.07378415
290,8500,9000,105.8823529,1981,45.52,2,254-1,보성,41111,수원시 장안구,연무동,55.80856875,중형,50.07378415
291,20000,500,2.5,1981,46.81,3,11월 05일,심우,41111,수원시 장안구,연무동,-47.57378415,중형,50.07378415
292,12600,10000,79.36507937,1981,47.57,3,343-2,심우(343-2),41113,수원시 권선구,세류동,21.60822533,중형,57.75685404
293,12600,10500,83.33333333,1981,47.57,3,343-2,심우(343-2),41113,수원시 권선구,세류동,25.57647929,중형,57.75685404
294,13700,9300,67.88321168,1981,47.6,1,343-2,심우(343-2),41113,수원시 권선구,세류동,10.12635764,중형,57.75685404
295,14400,12000,83.33333333,1981,47.6,2,343-2,심우(343-2),41113,수원시 권선구,세류동,25.57647929,중형,57.75685404
296,14500,1000,6.896551724,1981,47.6,3,343-2,심우(343-2),41113,수원시 권선구,세류동,-50.86030231,중형,57.75685404
297,12100,2000,16.52892562,1981,48,1,441-7,복지,41111,수원시 장안구,송죽동,-50.72690255,중형,67.25582817
298,12100,8400,69.4214876,1981,48,1,441-7,복지,41111,수원시 장안구,송죽동,2.165659426,중형,67.25582817
299,12100,8800,72.72727273,1981,48,1,441-7,복지,41111,수원시 장안구,송죽동,5.471444556,중형,67.25582817
300,16500,6500,39.39393939,1981,49.09,3,11월 05일,심우,41111,수원시 장안구,연무동,-10.67984476,중형,50.07378415
301,16500,8000,48.48484848,1981,49.09,3,11월 05일,심우,41111,수원시 장안구,연무동,-1.588935671,중형,50.07378415
302,10000,8000,80,1981,49.85,3,253-33,보성,41111,수원시 장안구,연무동,29.92621585,중형,50.07378415
303,10000,8000,80,1981,49.85,3,253-33,보성,41111,수원시 장안구,연무동,29.92621585,중형,50.07378415
304,10500,9000,85.71428571,1981,51.31,1,1007-9,동산연립(1007-9),41113,수원시 권선구,세류동,27.95743167,중형,57.75685404
305,9800,8500,86.73469388,1981,51.31,2,1007-9,동산연립(1007-9),41113,수원시 권선구,세류동,28.97783984,중형,57.75685404
306,9800,6000,61.2244898,1981,51.31,2,1007-9,동산연립(1007-9),41113,수원시 권선구,세류동,3.467635763,중형,57.75685404
307,9800,8000,81.63265306,1981,51.31,2,1007-9,동산연립(1007-9),41113,수원시 권선구,세류동,23.87579902,중형,57.75685404
308,9800,9000,91.83673469,1981,51.31,2,1007-9,동산연립(1007-9),41113,수원시 권선구,세류동,34.07988065,중형,57.75685404
309,14800,8500,57.43243243,1981,51.32,2,1007-9,동산연립(1007-9),41113,수원시 권선구,세류동,-0.324421607,중형,57.75685404
310,16500,9000,54.54545455,1981,52.1,1,344-5,심우(344-5),41113,수원시 권선구,세류동,-3.211399487,중형,57.75685404
311,16500,700,4.242424242,1981,52.1,1,344-5,심우(344-5),41113,수원시 권선구,세류동,-53.51442979,중형,57.75685404
312,16500,10400,63.03030303,1981,52.1,1,344-5,심우(344-5),41113,수원시 권선구,세류동,5.273448993,중형,57.75685404
313,10500,9500,90.47619048,1981,53.79,2,Jul-36,신명(36-7),41111,수원시 장안구,정자동,24.10843626,중형,66.36775422
314,10500,10500,100,1981,53.79,2,Jul-36,신명(36-7),41111,수원시 장안구,정자동,33.63224578,중형,66.36775422
315,12300,10000,81.30081301,1981,55.04,3,343-2,심우(343-2),41113,수원시 권선구,세류동,23.54395897,중형,57.75685404
316,12000,9500,79.16666667,1981,56.13,2,386-1,청수,41111,수원시 장안구,파장동,14.44343561,중형,64.72323106
317,12000,12000,100,1981,56.13,2,386-1,청수,41111,수원시 장안구,파장동,35.27676894,중형,64.72323106
318,30000,1000,3.333333333,1981,57.22,1,11월 05일,심우,41111,수원시 장안구,연무동,-46.74045082,중형,50.07378415
319,20250,500,2.469135802,1981,57.22,2,11월 05일,심우,41111,수원시 장안구,연무동,-47.60464835,중형,50.07378415
320,13900,10000,71.94244604,1981,57.22,3,11월 05일,심우,41111,수원시 장안구,연무동,21.86866189,중형,50.07378415
321,13900,6900,49.64028777,1981,57.22,3,11월 05일,심우,41111,수원시 장안구,연무동,-0.433496381,중형,50.07378415
322,6183.333333,4000,64.69002695,1982,27.7,2,Nov-44,산다(44-11),41111,수원시 장안구,정자동,4.969241314,소형,59.72078564
323,6183.333333,2500,40.43126685,1982,27.7,2,Nov-44,산다(44-11),41111,수원시 장안구,정자동,-19.28951879,소형,59.72078564
324,6183.333333,3000,48.51752022,1982,27.7,2,Nov-44,산다(44-11),41111,수원시 장안구,정자동,-11.20326542,소형,59.72078564
325,5200,5700,109.6153846,1982,27.7,1,44-52,산다(44-52),41111,수원시 장안구,정자동,49.89459896,소형,59.72078564
326,5200,4500,86.53846154,1982,27.7,1,44-52,산다(44-52),41111,수원시 장안구,정자동,26.8176759,소형,59.72078564
327,7233.333333,8100,111.9815668,1982,27.7,2,44-52,산다(44-52),41111,수원시 장안구,정자동,52.26078116,소형,59.72078564
328,6100,2000,32.78688525,1982,27.7,3,44-52,산다(44-52),41111,수원시 장안구,정자동,-26.93390039,소형,59.72078564
329,6100,300,4.918032787,1982,27.7,3,44-52,산다(44-52),41111,수원시 장안구,정자동,-54.80275285,소형,59.72078564
330,6100,2500,40.98360656,1982,27.7,3,44-52,산다(44-52),41111,수원시 장안구,정자동,-18.73717908,소형,59.72078564
331,12550,10000,79.6812749,1982,37.88,3,192-6,장안(A),41113,수원시 권선구,세류동,21.92442086,중형,57.75685404
332,10550,9000,85.30805687,1982,38.31,3,192-6,장안(A),41113,수원시 권선구,세류동,27.55120283,중형,57.75685404
333,10550,10000,94.78672986,1982,38.31,3,192-6,장안(A),41113,수원시 권선구,세류동,37.02987582,중형,57.75685404
334,10550,6000,56.87203791,1982,38.31,3,192-6,장안(A),41113,수원시 권선구,세류동,-0.884816127,중형,57.75685404
335,12000,8350,69.58333333,1982,38.51,2,192-3,장안(B),41113,수원시 권선구,세류동,11.82647929,중형,57.75685404
336,12000,9000,75,1982,38.51,2,192-3,장안(B),41113,수원시 권선구,세류동,17.24314596,중형,57.75685404
337,12000,7500,62.5,1982,38.51,2,192-3,장안(B),41113,수원시 권선구,세류동,4.743145963,중형,57.75685404
338,11533.33333,6900,59.8265896,1982,38.51,3,192-3,장안(B),41113,수원시 권선구,세류동,2.069735563,중형,57.75685404
339,11533.33333,8000,69.36416185,1982,38.51,3,192-3,장안(B),41113,수원시 권선구,세류동,11.60730781,중형,57.75685404
340,11500,11200,97.39130435,1982,39.14,2,427-23,칠성,41111,수원시 장안구,영화동,40.02051567,중형,57.37078868
341,11500,11000,95.65217391,1982,39.14,2,427-23,칠성,41111,수원시 장안구,영화동,38.28138523,중형,57.37078868
342,10650,8000,75.11737089,1982,40.56,3,192-6,장안(A),41113,수원시 권선구,세류동,17.36051685,중형,57.75685404
343,10650,1000,9.389671362,1982,40.56,3,192-6,장안(A),41113,수원시 권선구,세류동,-48.36718267,중형,57.75685404
344,9500,10000,105.2631579,1982,41.22,2,192-6,장안(A),41113,수원시 권선구,세류동,47.50630386,중형,57.75685404
345,8800,1000,11.36363636,1982,41.22,3,192-6,장안(A),41113,수원시 권선구,세류동,-46.39321768,중형,57.75685404
346,8700,5000,57.47126437,1982,42.61,3,192-6,장안(A),41113,수원시 권선구,세류동,-0.285589667,중형,57.75685404
347,8700,7500,86.20689655,1982,42.61,3,192-6,장안(A),41113,수원시 권선구,세류동,28.45004251,중형,57.75685404
348,11600,10000,86.20689655,1982,42.81,1,456-1,양지,41113,수원시 권선구,세류동,28.45004251,중형,57.75685404
349,9900,4000,40.4040404,1982,44.4,2,232-43,장안연립,41115,수원시 팔달구,지동,-6.158578567,중형,46.56261897
350,9900,8500,85.85858586,1982,44.4,2,232-43,장안연립,41115,수원시 팔달구,지동,39.29596689,중형,46.56261897
351,13700,11000,80.2919708,1982,44.63,1,150-3,새광명,41111,수원시 장안구,율전동,24.68556588,중형,55.60640492
352,11000,8400,76.36363636,1982,46.51,2,291-30,망포주택,41117,수원시 영통구,망포동,3.437382797,중형,72.92625356
353,11000,1500,13.63636364,1982,46.51,2,291-30,망포주택,41117,수원시 영통구,망포동,-59.28988992,중형,72.92625356
354,11000,8820,80.18181818,1982,46.51,2,291-30,망포주택,41117,수원시 영통구,망포동,7.255564617,중형,72.92625356
355,11000,1000,9.090909091,1982,46.51,2,291-30,망포주택,41117,수원시 영통구,망포동,-63.83534447,중형,72.92625356
356,11000,9000,81.81818182,1982,46.51,2,291-30,망포주택,41117,수원시 영통구,망포동,8.891928257,중형,72.92625356
357,11150,3000,26.9058296,1982,47.57,1,778-3,경원,41111,수원시 장안구,조원동,-37.50330793,중형,64.40913753
