,건축년도,보증금.만원.,거래금액.만원.,전세가율,주택유형,본번,부번,층,도로명,단지명,전용면적,시군구,동,편차,전용면적_그룹,평균 전세가율
40,1999,14200,20433.33333,69.49429038,아파트,10,0,9,창훈로60번길 31,성원,52.07,경기도 수원시 장안구 연무동,연무동,-5.856537937,중형,75.35082832
41,1999,9214.285714,11400,80.82706767,아파트,10,0,10,창훈로60번길 31,성원,33.27,경기도 수원시 장안구 연무동,연무동,5.476239353,중형,75.35082832
42,1999,8750,10433.33333,83.8658147,아파트,10,0,13,창훈로60번길 31,성원,33.27,경기도 수원시 장안구 연무동,연무동,8.514986383,중형,75.35082832
43,1985,13000,20500,63.41463415,아파트,11,1,1,송정로90번길 4,효성,75.51,경기도 수원시 장안구 정자동,정자동,2.285893659,대형,61.12874049
44,1985,15300,22000,69.54545455,아파트,11,1,3,송정로90번길 4,효성,75.51,경기도 수원시 장안구 정자동,정자동,8.416714059,대형,61.12874049
45,1985,20000,32000,62.5,아파트,11,1,5,송정로90번길 4,효성,75.51,경기도 수원시 장안구 정자동,정자동,1.371259509,대형,61.12874049
46,2001,18000,31350,57.41626794,아파트,11,11,2,장안로5번길 45,성원쌍떼빌,59.55,경기도 수원시 팔달구 화서동,화서동,4.203073189,중형,53.21319475
47,2001,19666.66667,24900,78.98259705,아파트,11,11,3,장안로5번길 45,성원쌍떼빌,59.55,경기도 수원시 팔달구 화서동,화서동,25.7694023,중형,53.21319475
48,2001,20000,42200,47.39336493,아파트,11,11,3,장안로5번길 45,성원쌍떼빌,84.48,경기도 수원시 팔달구 화서동,화서동,-10.459899,대형,57.85326393
49,2001,19500,25900,75.28957529,아파트,11,11,4,장안로5번길 45,성원쌍떼빌,59.55,경기도 수원시 팔달구 화서동,화서동,22.07638054,중형,53.21319475
50,2001,20000,28300,70.67137809,아파트,11,11,6,장안로5번길 45,성원쌍떼빌,59.55,경기도 수원시 팔달구 화서동,화서동,17.45818334,중형,53.21319475
51,2001,24000,30000,80,아파트,11,11,7,장안로5번길 45,성원쌍떼빌,71.45,경기도 수원시 팔달구 화서동,화서동,22.14673607,대형,57.85326393
52,2001,22500,29600,76.01351351,아파트,11,11,8,장안로5번길 45,성원쌍떼빌,59.55,경기도 수원시 팔달구 화서동,화서동,22.80031876,중형,53.21319475
53,2001,23000,37000,62.16216216,아파트,11,11,8,장안로5번길 45,성원쌍떼빌,84.48,경기도 수원시 팔달구 화서동,화서동,4.308898228,대형,57.85326393
54,2001,17200,30625,56.16326531,아파트,11,11,9,장안로5번길 45,성원쌍떼빌,59.55,경기도 수원시 팔달구 화서동,화서동,2.950070559,중형,53.21319475
55,2001,21000,29033.33333,72.33065442,아파트,11,11,10,장안로5번길 45,성원쌍떼빌,59.55,경기도 수원시 팔달구 화서동,화서동,19.11745967,중형,53.21319475
56,2001,18000,23500,76.59574468,아파트,11,11,11,장안로5번길 45,성원쌍떼빌,59.27,경기도 수원시 팔달구 화서동,화서동,23.38254993,중형,53.21319475
57,2001,19166.66667,30150,63.57103372,아파트,11,11,11,장안로5번길 45,성원쌍떼빌,59.55,경기도 수원시 팔달구 화서동,화서동,10.35783897,중형,53.21319475
58,2001,24500,36850,66.48575305,아파트,11,11,11,장안로5번길 45,성원쌍떼빌,84.48,경기도 수원시 팔달구 화서동,화서동,8.632489118,대형,57.85326393
59,2001,22500,31500,71.42857143,아파트,11,11,12,장안로5번길 45,성원쌍떼빌,59.55,경기도 수원시 팔달구 화서동,화서동,18.21537668,중형,53.21319475
60,2001,24800,44500,55.73033708,아파트,11,11,12,장안로5번길 45,성원쌍떼빌,84.48,경기도 수원시 팔달구 화서동,화서동,-2.122926852,대형,57.85326393
61,2001,25000,27650,90.4159132,아파트,11,11,13,장안로5번길 45,성원쌍떼빌,59.55,경기도 수원시 팔달구 화서동,화서동,37.20271845,중형,53.21319475
62,2001,23142.85714,31900,72.54814151,아파트,11,11,14,장안로5번길 45,성원쌍떼빌,59.55,경기도 수원시 팔달구 화서동,화서동,19.33494676,중형,53.21319475
63,2001,18266.66667,34500,52.9468599,아파트,11,11,14,장안로5번길 45,성원쌍떼빌,66.27,경기도 수원시 팔달구 화서동,화서동,-4.906404032,대형,57.85326393
64,2001,28000,40150,69.7384807,아파트,11,11,16,장안로5번길 45,성원쌍떼빌,84.48,경기도 수원시 팔달구 화서동,화서동,11.88521677,대형,57.85326393
65,1991,16666.66667,21700,76.80491551,아파트,11,41,1,팔달로165번길 39,벽산아파트,63.78,경기도 수원시 팔달구 화서동,화서동,18.95165158,대형,57.85326393
66,1991,15150,18400,82.33695652,아파트,11,41,3,팔달로165번길 39,벽산아파트,63.78,경기도 수원시 팔달구 화서동,화서동,24.48369259,대형,57.85326393
67,1991,12500,25500,49.01960784,아파트,11,41,4,팔달로165번길 39,벽산아파트,63.78,경기도 수원시 팔달구 화서동,화서동,-8.833656092,대형,57.85326393
68,1991,23000,29000,79.31034483,아파트,11,41,4,팔달로165번길 39,벽산아파트,114.9,경기도 수원시 팔달구 화서동,화서동,20.98500636,초대형,58.32533847
69,1991,18000,19750,91.13924051,아파트,11,41,6,팔달로165번길 39,벽산아파트,63.78,경기도 수원시 팔달구 화서동,화서동,33.28597658,대형,57.85326393
70,1991,15000,29000,51.72413793,아파트,11,41,6,팔달로165번길 39,벽산아파트,84.7,경기도 수원시 팔달구 화서동,화서동,-6.129126002,대형,57.85326393
71,1991,25000,31400,79.61783439,아파트,11,41,7,팔달로165번길 39,벽산아파트,84.7,경기도 수원시 팔달구 화서동,화서동,21.76457046,대형,57.85326393
72,1991,19000,20000,95,아파트,11,41,8,팔달로165번길 39,벽산아파트,63.78,경기도 수원시 팔달구 화서동,화서동,37.14673607,대형,57.85326393
73,1991,23666.66667,27075,87.41151123,아파트,11,41,8,팔달로165번길 39,벽산아파트,84.7,경기도 수원시 팔달구 화서동,화서동,29.5582473,대형,57.85326393
74,1991,20000,26000,76.92307692,아파트,11,41,10,팔달로165번길 39,벽산아파트,84.7,경기도 수원시 팔달구 화서동,화서동,19.06981299,대형,57.85326393
75,1991,16000,27000,59.25925926,아파트,11,41,11,팔달로165번길 39,벽산아파트,63.78,경기도 수원시 팔달구 화서동,화서동,1.405995328,대형,57.85326393
76,1992,11000,22750,48.35164835,아파트,13,0,4,송정로76번길 45,기산,58.87,경기도 수원시 장안구 정자동,정자동,-11.81397613,중형,60.16562448
77,1992,20000,21800,91.74311927,아파트,13,0,10,송정로76번길 45,기산,58.87,경기도 수원시 장안구 정자동,정자동,31.57749479,중형,60.16562448
78,1992,16000,22566.66667,70.90103397,아파트,13,0,11,송정로76번길 45,기산,58.87,경기도 수원시 장안구 정자동,정자동,10.73540949,중형,60.16562448
79,1992,18000,21150,85.10638298,아파트,13,0,12,송정로76번길 45,기산,58.87,경기도 수원시 장안구 정자동,정자동,24.9407585,중형,60.16562448
80,2022,13000,26700,48.68913858,아파트,18,2,9,창훈로 74,서광교파크뷰,41.18,경기도 수원시 장안구 연무동,연무동,-26.66168974,중형,75.35082832
81,1991,15000,13900,107.9136691,아파트,21,0,3,창훈로66번길 11-3,유천프라자,59.67,경기도 수원시 장안구 연무동,연무동,32.56284078,중형,75.35082832
82,1991,10666.66667,22500,47.40740741,아파트,21,0,4,창훈로66번길 11-3,유천프라자,59.67,경기도 수원시 장안구 연무동,연무동,-27.94342091,중형,75.35082832
83,1991,13333.33333,20000,66.66666667,아파트,21,0,7,창훈로66번길 11-3,유천프라자,59.67,경기도 수원시 장안구 연무동,연무동,-8.684161647,중형,75.35082832
84,1991,16000,20000,80,아파트,21,5,1,창훈로66번길 12,유천프라자(21-5)나동,59.58,경기도 수원시 장안구 연무동,연무동,4.649171683,중형,75.35082832
85,1991,9000,16500,54.54545455,아파트,21,5,3,창훈로66번길 12,유천프라자(21-5)나동,63.45,경기도 수원시 장안구 연무동,연무동,-16.12397737,대형,70.66943192
86,1991,13000,25000,52,아파트,21,5,3,창훈로66번길 12,유천프라자(21-5)나동,66.51,경기도 수원시 장안구 연무동,연무동,-18.66943192,대형,70.66943192
87,2008,44500,78500,56.68789809,아파트,24,1,3,정자천로188번길 21,정자KTe-편한세상,140.72,경기도 수원시 장안구 정자동,정자동,-6.70091572,초대형,63.38881381
88,2008,39900,64700,61.66924266,아파트,24,1,4,정자천로188번길 21,정자KTe-편한세상,143.41,경기도 수원시 장안구 정자동,정자동,-1.71957115,초대형,63.38881381
89,2008,41000,68500,59.8540146,아파트,24,1,5,정자천로188번길 21,정자KTe-편한세상,84.76,경기도 수원시 장안구 정자동,정자동,-1.274725891,대형,61.12874049
90,2008,41000,67200,61.01190476,아파트,24,1,8,정자천로188번길 21,정자KTe-편한세상,84.76,경기도 수원시 장안구 정자동,정자동,-0.116835731,대형,61.12874049
91,2008,46200,83000,55.6626506,아파트,24,1,13,정자천로188번길 21,정자KTe-편한세상,143.41,경기도 수원시 장안구 정자동,정자동,-7.72616321,초대형,63.38881381
92,2008,69700,88700,78.5794814,아파트,24,1,14,정자천로188번길 21,정자KTe-편한세상,140.72,경기도 수원시 장안구 정자동,정자동,15.19066759,초대형,63.38881381
93,2008,40000,74500,53.69127517,아파트,24,1,15,정자천로188번길 21,정자KTe-편한세상,84.76,경기도 수원시 장안구 정자동,정자동,-7.437465321,대형,61.12874049
94,2021,30000,35900,83.56545961,아파트,24,6,4,정조로715번길 29,만강,69.42,경기도 수원시 팔달구 매교동,매교동,29.29144437,대형,54.27401524
95,2021,28333.33333,35400,80.03766478,아파트,24,6,5,정조로715번길 29,만강,66.48,경기도 수원시 팔달구 매교동,매교동,25.76364954,대형,54.27401524
96,2001,23000,27200,84.55882353,아파트,25,4,2,매산로130번길 15,건영캐스빌,82.64,경기도 수원시 팔달구 매교동,매교동,30.28480829,대형,54.27401524
97,2001,21400,28500,75.0877193,아파트,25,4,5,매산로130번길 15,건영캐스빌,82.64,경기도 수원시 팔달구 매교동,매교동,20.81370406,대형,54.27401524
98,2001,22000,27350,80.43875686,아파트,25,4,7,매산로130번길 15,건영캐스빌,82.64,경기도 수원시 팔달구 매교동,매교동,26.16474162,대형,54.27401524
99,2001,22750,28000,81.25,아파트,25,4,10,매산로130번길 15,건영캐스빌,82.64,경기도 수원시 팔달구 매교동,매교동,26.97598476,대형,54.27401524
100,1988,11737.27273,45400,25.85302363,아파트,28,0,1,중부대로223번길 102,우만주공1단지,38.52,경기도 수원시 팔달구 우만동,우만동,-17.52830032,중형,43.38132395
